# {"t_start": 1582159160.5053852, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-19.312922,50,467.437403
-13.494792,50,467.700471
-8.645694,50,467.947243
-14.142886,50,468.201167
-5.376811,50,468.449027
-14.931163,50,468.695116
-22.866013,50,468.948594
-10.865312,50,469.194685
-4.140921,50,469.437012
-10.630032,50,469.682111
-7.635938,50,469.927614
-20.019576,50,470.175498
-13.188006,50,470.417947
-29.660589,50,470.66619
-10.914294,50,470.909725
-2.084795,50,471.174432
-3.597645,50,471.427929
-19.669636,50,471.673866
-16.080616,50,471.930008
-8.031631,50,472.177476
-7.366463,50,472.424
-11.376561,50,472.673444
-26.514144,50,472.923987
-15.150321,50,473.178514
-3.4924,50,524.407757
-7.758263,50,524.643244
-23.630843,50,524.875268
-11.401349,50,525.113279
-11.499601,50,525.342919
-12.683732,50,525.579863
-11.549423,50,525.816258
-18.442386,50,526.064847
-8.193114,50,526.31815
-16.999201,50,526.566871
-16.42154,50,526.81818
-33.111768,50,527.077228
-10.663649,50,527.328287
-6.57185,50,527.577601
-2.962252,50,527.832958
-14.458747,50,528.099595
-3.5168,50,528.34793
-9.063898,50,528.59765
-12.574122,50,528.872954
-7.095744,50,529.122923
-12.491941,50,529.365073
-9.35459,50,529.616053
-1.680114,50,529.869243
-16.674401,50,530.127483
-17.816295,50,530.383593
-14.122495,50,530.628685
-21.627445,50,530.873949
-17.729573,50,531.114538
-21.486377,50,531.366651
-24.413696,50,531.612619
-6.848772,50,531.868052
-10.64807,50,532.115164
-14.054879,50,532.373567
-19.816331,50,532.614311
-17.615622,50,532.876069
-5.785219,50,533.125567
-11.539613,50,533.412334
-21.780052,50,533.680516
-16.718821,50,533.9317
-12.273204,50,534.177102
-5.293227,50,534.425124
-12.007475,50,561.641526
-18.090271,50,562.027777
-5.084867,50,562.419585
-3.539397,50,562.790134
-21.544372,50,563.175898
-10.815705,50,563.570374
-11.573505,50,563.956638
-2.098794,50,564.329983
-11.178809,50,564.708473
-18.476238,50,565.092208
-13.457675,50,565.466953
-12.564765,50,565.846978
-8.742829,50,566.213619
-12.477179,50,566.597155
-22.145016,50,566.990752
-23.309008,50,567.315132
-10.224727,50,567.535414
-19.820688,50,567.751055
-16.759355,50,567.967662
-6.803277,50,568.186094
-15.973683,50,568.426418
-8.333171,50,568.667953
-25.49471,50,568.914209
-8.280596,50,569.15247
-6.451066,50,569.379499
-10.733368,50,569.60081
-16.457326,50,569.819278
-6.444317,50,570.044962
-2.395126,50,570.271907
-7.648985,50,570.478566
-8.01539,50,570.682761
-8.915812,50,570.902492
-4.44626,50,571.111116
-7.385568,50,571.317613
-10.837385,50,571.519009
-17.579213,50,571.72473
-22.656801,50,571.939441
-19.000173,50,572.186427
-1.925417,50,572.398998
-4.937243,50,572.610029
-15.475723,50,572.813202
-12.121489,50,596.744494
-22.65992,50,597.119419
-11.763311,50,597.487127
-5.677981,50,597.858249
-23.903422,50,598.234373
-16.937092,50,598.603714
-13.659603,50,598.988194
-6.609656,50,599.366118
-10.198568,50,599.749128
-10.594344,50,600.12104
-9.094172,50,600.492423
-4.756746,50,600.881539
-8.249471,50,601.263757
-12.209614,50,601.82247
-17.611345,50,602.419432
-16.025512,50,603.071043
-13.660498,50,603.602116
-4.781172,50,603.890214
-19.912149,50,604.109658
-22.479615,50,604.32553
-21.853165,50,604.560682
-9.231569,50,604.773859
-8.306754,50,604.985129
-17.24468,50,605.205334
-7.552103,50,605.432457
-6.421974,50,605.65519
-12.710318,50,605.868697
-8.871639,50,606.087673
-26.097866,50,606.282391
-18.144802,50,606.480526
-12.965438,50,606.681349
-14.251109,50,606.889949
-16.741682,50,607.092975
-19.715868,50,607.300461
-20.544195,50,607.509716
-13.918162,50,607.711649
-5.590236,50,607.917815
-13.515677,50,608.125046
-7.866491,50,608.356385
-21.492648,50,608.559118
-13.475825,50,608.767543
-20.983643,50,632.921319
-6.969918,50,633.292495
-3.111601,50,633.662024
-7.671272,50,634.047834
-22.639204,50,634.440211
-14.575818,50,634.83954
-11.401757,50,635.225174
-13.255721,50,635.596317
-10.600705,50,635.975612
-17.912415,50,636.348241
-11.297083,50,636.743709
-2.529936,50,637.135821
-8.865792,50,637.507036
-25.249508,50,637.896907
-10.66061,50,638.227256
-9.607124,50,638.451235
-6.308479,50,638.6814
-18.421979,50,638.901145
-13.224651,50,639.125738
-4.546415,50,639.364146
-15.518175,50,639.596943
