# {"t_start": 1587122070.8783438, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,1602.876194
-400.0,400,1603.346785
-400.0,400,1603.818485
-400.0,400,1604.2886
-400.0,400,1611.029294
-400.0,400,1611.489981
-400.0,400,1611.951901
-400.0,400,1612.415101
-400.0,400,1612.876702
-400.0,400,1619.573113
-400.0,400,1620.032431
-400.0,400,1620.492955
-400.0,400,1620.953545
-400.0,400,1621.414052
-400.0,400,1621.874943
-400.0,400,1628.655576
-400.0,400,1629.125973
-400.0,400,1629.596663
-400.0,400,1630.068823
-400.0,400,1630.536171
-400.0,400,1651.544879
-400.0,400,1652.007178
-400.0,400,1652.469604
-400.0,400,1652.931956
-400.0,400,1653.393977
-400.0,400,1660.155257
-400.0,400,1660.614744
-400.0,400,1661.07179
-400.0,400,1661.532155
-400.0,400,1661.992602
-400.0,400,1668.728446
-400.0,400,1669.189996
-400.0,400,1669.651008
-400.0,400,1670.116213
-400.0,400,1670.574455
-400.0,400,1677.319503
-400.0,400,1677.779277
-400.0,400,1678.238872
-400.0,400,1678.698373
-400.0,400,1679.158471
-400.0,400,1685.880677
-400.0,400,1686.340719
-400.0,400,1686.801238
-400.0,400,1687.26519
-400.0,400,1687.724814
-400.0,400,1694.419969
-400.0,400,1694.884133
-400.0,400,1695.346476
-400.0,400,1695.808672
-400.0,400,1696.270669
-400.0,400,1703.144745
-400.0,400,1703.628337
-400.0,400,1704.108518
-400.0,400,1704.588542
-400.0,400,1705.051887
-400.0,400,1711.776465
-400.0,400,1712.24137
-400.0,400,1712.703562
-400.0,400,1713.163847
-400.0,400,1713.625467
-400.0,400,1714.087916
-400.0,400,1720.962479
-400.0,400,1721.439308
-400.0,400,1721.916358
-400.0,400,1722.394309
-400.0,400,1722.871333
-400.0,400,1729.735994
-400.0,400,1730.218704
-400.0,400,1730.698318
-400.0,400,1731.176069
-400.0,400,1731.655877
-400.0,400,1738.480354
-400.0,400,1738.950082
-400.0,400,1739.419764
-400.0,400,1739.896769
-400.0,400,1740.370505
-400.0,400,1747.221446
-400.0,400,1747.690089
-400.0,400,1748.159971
-400.0,400,1748.630404
-400.0,400,1749.100586
-400.0,400,1755.871218
-400.0,400,1756.34142
-400.0,400,1756.812212
-400.0,400,1757.282575
-400.0,400,1757.75402
-400.0,400,1764.627409
-400.0,400,1765.098005
-400.0,400,1765.568425
-400.0,400,1766.039061
-400.0,400,1766.509652
-400.0,400,1773.326286
-400.0,400,1773.788911
-400.0,400,1774.255362
-400.0,400,1774.715844
-400.0,400,1775.178901
-400.0,400,1782.030176
-400.0,400,1782.499991
-400.0,400,1782.968922
-400.0,400,1783.438001
-400.0,400,1783.907781
-400.0,400,1784.376952
-400.0,400,1791.134468
-400.0,400,1791.610096
-400.0,400,1792.085072
-400.0,400,1792.55993
-400.0,400,1793.035574
-400.0,400,1800.079219
-400.0,400,1800.554909
-400.0,400,1801.031006
-400.0,400,1801.506808
-400.0,400,1801.982593
-400.0,400,1809.052285
-400.0,400,1809.514622
-400.0,400,1809.978646
-400.0,400,1810.440634
-400.0,400,1810.903438
-400.0,400,1817.652113
-400.0,400,1818.114452
-400.0,400,1818.577134
-400.0,400,1819.038773
-400.0,400,1819.501045
-400.0,400,1826.623842
-400.0,400,1827.094746
-400.0,400,1827.564791
-400.0,400,1828.035683
-400.0,400,1828.506537
-400.0,400,1836.262987
-400.0,400,1836.723036
-400.0,400,1837.182788
-400.0,400,1837.643454
-400.0,400,1838.104743
-400.0,400,1846.265141
-400.0,400,1846.747809
-400.0,400,1847.224148
-400.0,400,1847.700943
-400.0,400,1848.177563
-400.0,400,1856.53642
-400.0,400,1857.006731
-400.0,400,1857.476731
-400.0,400,1857.947109
-400.0,400,1858.417248
-400.0,400,1858.888084
-400.0,400,1867.203879
-400.0,400,1867.663794
-400.0,400,1868.124274
-400.0,400,1868.584678
-400.0,400,1869.044691
-400.0,400,1906.900291
-400.0,400,1907.359567
-400.0,400,1907.81955
-400.0,400,1908.278592
-400.0,400,1908.738163
-400.0,400,1917.534526
-400.0,400,1917.997712
-400.0,400,1918.459042
-400.0,400,1918.918796
-400.0,400,1919.38025
-400.0,400,1928.211296
-400.0,400,1928.672158
-400.0,400,1929.132808
-400.0,400,1929.593609
-400.0,400,1930.055786
-400.0,400,1938.857099
-400.0,400,1939.319155
-400.0,400,1939.782435
-400.0,400,1940.246878
-400.0,400,1940.709709
-400.0,400,1949.508189
-400.0,400,1949.966995
-400.0,400,1950.429666
-400.0,400,1950.891819
-400.0,400,1951.353074
-400.0,400,1960.272413
-400.0,400,1960.742272
-400.0,400,1961.211776
-400.0,400,1961.681442
-400.0,400,1962.151263
-400.0,400,1971.057891
-400.0,400,1971.527168
-400.0,400,1971.993871
-400.0,400,1972.463052
-400.0,400,1972.932473
-400.0,400,1981.733801
-400.0,400,1982.198279
-400.0,400,1982.660116
-400.0,400,1983.122039
-400.0,400,1983.583585
-400.0,400,1984.045332
-400.0,400,1992.829667
-400.0,400,1993.290019
-400.0,400,1993.750548
-400.0,400,1994.210441
-400.0,400,1994.67156
-400.0,400,2003.443519
-400.0,400,2003.904957
-400.0,400,2004.366086
-400.0,400,2004.829392
-400.0,400,2005.290502
-400.0,400,2014.328956
-400.0,400,2014.812768
-400.0,400,2015.294265
-400.0,400,2015.776
-400.0,400,2016.257289
-400.0,400,2025.272327
-400.0,400,2025.742994
-400.0,400,2026.21276
-400.0,400,2026.682743
-400.0,400,2027.153235
-400.0,400,2036.01242
-400.0,400,2036.472861
-400.0,400,2036.934363
-400.0,400,2037.395014
-400.0,400,2037.85623
-400.0,400,2046.719714
-400.0,400,2047.19003
-400.0,400,2047.660331
-400.0,400,2048.131704
-400.0,400,2048.600615
-400.0,400,2057.455722
-400.0,400,2057.91822
-400.0,400,2058.381067
-400.0,400,2058.843615
-400.0,400,2059.306051
-400.0,400,2068.216001
-400.0,400,2068.685771
-400.0,400,2069.154642
-400.0,400,2069.62326
-400.0,400,2070.094076
-400.0,400,2070.562676
-400.0,400,2079.354388
-400.0,400,2079.817346
-400.0,400,2080.280365
-400.0,400,2080.742342
-400.0,400,2081.204117
-400.0,400,2090.174628
-400.0,400,2090.642423
-400.0,400,2091.113083
-400.0,400,2091.583393
-400.0,400,2092.053736
-400.0,400,2100.880262
-400.0,400,2101.339972
-400.0,400,2101.800389
-400.0,400,2102.259889
-400.0,400,2102.719455
-400.0,400,2111.671775
-400.0,400,2112.15234
-400.0,400,2112.632534
-400.0,400,2113.113318
-400.0,400,2113.598523
-400.0,400,2122.458313
-400.0,400,2122.922509
-400.0,400,2123.389674
-400.0,400,2123.853317
-400.0,400,2124.316371
-400.0,400,2133.163871
-400.0,400,2133.625408
-400.0,400,2134.089
-400.0,400,2134.550342
-400.0,400,2135.01449
-400.0,400,2144.222461
-400.0,400,2144.693875
-400.0,400,2145.165099
-400.0,400,2145.635307
-400.0,400,2146.105446
-400.0,400,2155.099895
-400.0,400,2155.579735
-400.0,400,2156.060474
-400.0,400,2156.539893
-400.0,400,2157.022397
-400.0,400,2157.502461
-400.0,400,2166.331926
-400.0,400,2166.792587
-400.0,400,2167.250675
-400.0,400,2167.716518
-400.0,400,2168.180007
-400.0,400,2213.354273
-400.0,400,2213.828631
-400.0,400,2214.306638
-400.0,400,2214.783384
-400.0,400,2215.262971
-400.0,400,2224.511663
-400.0,400,2224.982564
-400.0,400,2225.451775
-400.0,400,2225.920883
-400.0,400,2226.390071
-400.0,400,2235.929556
-400.0,400,2236.453429
-400.0,400,2236.973087
-400.0,400,2237.493528
-400.0,400,2238.013647
-400.0,400,2247.870328
-400.0,400,2248.390887
-400.0,400,2248.912084
-400.0,400,2249.431769
-400.0,400,2249.953031
-400.0,400,2259.974336
-400.0,400,2260.512508
-400.0,400,2261.052636
-400.0,400,2261.593163
-400.0,400,2262.132631
-400.0,400,2272.260927
-400.0,400,2272.777506
-400.0,400,2273.296728
-400.0,400,2273.814396
-400.0,400,2274.336384
-400.0,400,2284.529759
-400.0,400,2285.062614
-400.0,400,2285.592278
-400.0,400,2286.116962
-400.0,400,2286.644847
-400.0,400,2296.871168
-400.0,400,2297.48757
-400.0,400,2298.195165
-400.0,400,2298.869555
-400.0,400,2299.390846
-400.0,400,2299.915521
-400.0,400,2310.474729
-400.0,400,2311.013219
-400.0,400,2311.541084
-400.0,400,2312.06177
-400.0,400,2312.598558
-400.0,400,2323.722614
-400.0,400,2324.251081
-400.0,400,2324.777267
-400.0,400,2325.302505
-400.0,400,2325.826048
-400.0,400,2336.186105
-400.0,400,2336.721468
-400.0,400,2337.260689
-400.0,400,2337.797943
-400.0,400,2338.336899
-400.0,400,2348.623695
-400.0,400,2349.159532
-400.0,400,2349.69534
-400.0,400,2350.232906
-400.0,400,2350.770252
-400.0,400,2360.943867
-400.0,400,2361.461874
-400.0,400,2361.977532
-400.0,400,2362.495233
-400.0,400,2363.014001
-400.0,400,2373.094868
-400.0,400,2373.611868
-400.0,400,2374.137669
-400.0,400,2374.655011
